公司,代號,股價 (50 Days ago),股價 (Today),漲幅
中鋼,2002,19.30,23.90,23.83%
東和鋼鐵,2006,66.60,74.10,11.26%
燁興,2007,9.09,11.45,25.96%
高興昌,2008,29.95,29.60,-1.17%
第一銅,2009,37.30,41.35,10.86%
春源,2010,17.80,19.10,7.30%
春雨,2012,24.05,26.90,11.85%
中鋼構,2013,49.95,54.10,8.31%
中鴻,2014,17.60,24.30,38.07%
豐興,2015,67.00,72.00,7.46%
官田鋼,2017,10.75,12.80,19.07%
美亞,2020,27.80,31.70,14.03%
聚亨,2022,8.32,10.55,26.80%
燁輝,2023,14.85,17.20,15.82%
志聯,2024,19.10,19.75,3.40%
千興,2025,9.35,19.20,105.35%
大成鋼,2027,30.05,48.25,60.57%
威致,2028,20.30,24.15,18.97%
盛餘,2029,23.80,26.05,9.45%
彰源,2030,16.45,19.00,15.50%
新光鋼,2031,45.80,52.80,15.28%
新鋼,2032,13.35,20.65,54.68%
佳大,2033,23.25,23.20,-0.22%
允強,2034,19.20,27.20,41.67%
海光,2038,15.05,20.35,35.22%
上銀,2049,302.50,347.00,14.71%
川湖,2059,"1,490.00","1,955.00",31.21%
橋椿,2062,32.35,31.15,-3.71%
運錩,2069,16.00,19.45,21.56%
南港,2101,45.20,48.55,7.41%
泰豐,2102,19.00,18.60,-2.11%
台橡,2103,19.90,21.85,9.80%
國際中橡,2104,12.60,13.10,3.97%
正新,2105,49.95,50.50,1.10%
建大,2106,26.25,28.30,7.81%
厚生,2107,25.75,26.35,2.33%
南帝,2108,34.90,34.05,-2.44%
華豐,2109,17.95,18.60,3.62%
鑫永銓,2114,89.10,91.90,3.14%
六暉-KY,2115,30.60,30.10,-1.63%
裕隆,2201,52.20,50.60,-3.07%
中華,2204,81.80,78.40,-4.16%
三陽工業,2206,69.70,69.70,0.00%
和泰車,2207,626.00,608.00,-2.88%
台船,2208,15.00,16.10,7.33%
長榮鋼,2211,89.60,96.70,7.92%
裕日車,2227,77.20,79.70,3.24%
劍麟,2228,97.40,100.00,2.67%
為升,2231,113.00,97.80,-13.45%
宇隆,2233,270.00,222.50,-17.59%
百達-KY,2236,118.50,127.50,7.59%
英利-KY,2239,33.95,38.75,14.14%
艾姆勒,2241,29.65,31.65,6.75%
宏旭-KY,2243,16.35,17.75,8.56%
汎德永業,2247,300.00,301.50,0.50%
IKKA-KY,2250,126.00,142.00,12.70%
光寶科,2301,102.00,111.50,9.31%
麗正,2302,18.90,21.65,14.55%
聯電,2303,43.40,43.30,-0.23%
全友,2305,14.05,14.90,6.05%
台達電,2308,418.50,393.00,-6.09%
金寶,2312,25.40,26.00,2.36%
華通,2313,70.00,67.60,-3.43%
台揚,2314,36.90,33.90,-8.13%
楠梓電,2316,47.60,49.40,3.78%
鴻海,2317,184.50,177.50,-3.79%
東訊,2321,15.25,15.30,0.33%
中環,2323,10.10,10.10,0.00%
仁寶,2324,36.95,39.50,6.90%
國巨,2327,569.00,581.00,2.11%
廣宇,2328,40.40,41.25,2.10%
華泰,2329,35.40,37.40,5.65%
台積電,2330,"1,125.00","1,055.00",-6.22%
精英,2331,22.10,22.25,0.68%
友訊,2332,23.95,22.80,-4.80%
旺宏,2337,20.10,22.45,11.69%
